id_instancia,tipo,dias,trabajadores,trabajador,dia,turno,disposicion
1,peq,6,6,1,1,dia,0
1,peq,6,6,1,1,noche,1
1,peq,6,6,1,2,dia,9
1,peq,6,6,1,2,noche,7
1,peq,6,6,1,3,dia,2
1,peq,6,6,1,3,noche,1
1,peq,6,6,1,4,dia,8
1,peq,6,6,1,4,noche,3
1,peq,6,6,1,5,dia,2
1,peq,6,6,1,5,noche,0
1,peq,6,6,1,6,dia,5
1,peq,6,6,1,6,noche,1
1,peq,6,6,2,1,dia,8
1,peq,6,6,2,1,noche,2
1,peq,6,6,2,2,dia,10
1,peq,6,6,2,2,noche,4
1,peq,6,6,2,3,dia,7
1,peq,6,6,2,3,noche,0
1,peq,6,6,2,4,dia,6
1,peq,6,6,2,4,noche,4
1,peq,6,6,2,5,dia,10
1,peq,6,6,2,5,noche,0
1,peq,6,6,2,6,dia,2
1,peq,6,6,2,6,noche,4
1,peq,6,6,3,1,dia,2
1,peq,6,6,3,1,noche,4
1,peq,6,6,3,2,dia,2
1,peq,6,6,3,2,noche,7
1,peq,6,6,3,3,dia,0
1,peq,6,6,3,3,noche,9
1,peq,6,6,3,4,dia,6
1,peq,6,6,3,4,noche,5
1,peq,6,6,3,5,dia,7
1,peq,6,6,3,5,noche,5
1,peq,6,6,3,6,dia,9
1,peq,6,6,3,6,noche,7
1,peq,6,6,4,1,dia,7
1,peq,6,6,4,1,noche,0
1,peq,6,6,4,2,dia,7
1,peq,6,6,4,2,noche,9
1,peq,6,6,4,3,dia,2
1,peq,6,6,4,3,noche,7
1,peq,6,6,4,4,dia,8
1,peq,6,6,4,4,noche,7
1,peq,6,6,4,5,dia,4
1,peq,6,6,4,5,noche,4
1,peq,6,6,4,6,dia,1
1,peq,6,6,4,6,noche,2
1,peq,6,6,5,1,dia,6
1,peq,6,6,5,1,noche,6
1,peq,6,6,5,2,dia,1
1,peq,6,6,5,2,noche,8
1,peq,6,6,5,3,dia,1
1,peq,6,6,5,3,noche,7
1,peq,6,6,5,4,dia,6
1,peq,6,6,5,4,noche,10
1,peq,6,6,5,5,dia,4
1,peq,6,6,5,5,noche,10
1,peq,6,6,5,6,dia,3
1,peq,6,6,5,6,noche,5
1,peq,6,6,6,1,dia,1
1,peq,6,6,6,1,noche,2
1,peq,6,6,6,2,dia,9
1,peq,6,6,6,2,noche,4
1,peq,6,6,6,3,dia,2
1,peq,6,6,6,3,noche,5
1,peq,6,6,6,4,dia,7
1,peq,6,6,6,4,noche,1
